name	count	yf	y	m	d	ra_deg	ra_h	ra_m	ra_s	de_deg	de_d	de_m	de_s	oc_ra	oc_de	oc_ra_eps	oc_de_eps	oc_ra_sigma	oc_de_sigma
73	u3        	5	2011.6794216658	2011	9	5.98890802	3.2323817	0	12	55.7716		0.5523306	0	33 	8.39		-0.029	0.043	0.012	0.008	0.027	0.017
74	u4        	5	2011.6794216658	2011	9	5.98890802	3.2343117	0	12	56.2348		0.549875	0	32 	59.55		0	0.033	0.01	0.013	0.022	0.028
75	u3        	5	2011.6930882259	2011	9	10.97720244	3.0556733	0	12	13.3616		0.4934133	0	29 	36.288		0.054	0.008	0.01	0.014	0.022	0.031
76	u4        	5	2011.6930882259	2011	9	10.97720244	3.0575442	0	12	13.8106		0.4951717	0	29 	42.618		0.046	0.04	0.011	0.016	0.024	0.035
77	u3        	5	2011.7149432544	2011	9	18.95428787	2.7704342	0	11	4.9042		0.3689806	0	22 	8.33		0.044	-0.032	0.006	0.02	0.013	0.046
78	u4        	5	2011.7149432544	2011	9	18.95428787	2.7751658	0	11	6.0398		0.3493944	0	20 	57.82		0.038	-0.051	0.005	0.01	0.012	0.023
79	u4        	5	2011.7204066963	2011	9	20.94844416	2.7032083	0	10	48.77		0.3228617	0	19 	22.302		0.012	-0.006	0.008	0.012	0.018	0.027
80	u2        	5	2011.7340699085	2011	9	25.93551662	2.5165283	0	10	3.9668		0.2443856	0	14 	39.788		0.022	-0.069	0.022	0.032	0.05	0.071
81	u4        	5	2011.7340699085	2011	9	25.93551662	2.5117108	0	10	2.8106		0.2606783	0	15 	38.442		-0.023	-0.073	0.005	0.009	0.012	0.02
82	u3        	5	2011.7367954928	2011	9	26.93035487	2.4782783	0	9	54.7868		0.2399261	0	14 	23.734		-0.044	-0.086	0.014	0.026	0.032	0.058
83	u4        	5	2011.7367954928	2011	9	26.93035487	2.4741842	0	9	53.8042		0.2427472	0	14 	33.89		-0.02	-0.104	0.015	0.018	0.034	0.039
84	u2        	5	2011.7395241348	2011	9	27.92630922	2.4402767	0	9	45.6664		0.2229761	0	13 	22.714		-0.058	-0.04	0.091	0.122	0.204	0.274
85	u3        	5	2011.7395241348	2011	9	27.92630922	2.4393767	0	9	45.4504		0.2263717	0	13 	34.938		-0.126	0.148	0.03	0.035	0.066	0.078
86	u4        	5	2011.7395241348	2011	9	27.92630922	2.4374925	0	9	44.9982		0.22295		0	13 	22.62		-0.098	0.097	0.037	0.042	0.082	0.095
87	u4        	5	2011.7477220103	2011	9	30.91853376	2.3317267	0	9	19.6144		0.16131		0	9 4	0.716		-0.102	-0.006	0.025	0.02	0.056	0.044
88	u3        	5	2011.750458582	2011	10	1.91738243	2.2959333	0	9	11.024		0.1465461	0	8 4	7.566		-0.086	-0.067	0.02	0.019	0.045	0.042
89	u4        	5	2011.750458582	2011	10	1.91738243	2.296825	0	9	11.238		0.1434939	0	8 3	6.578		-0.163	-0.002	0.024	0.018	0.054	0.04
90	u3        	5	2011.6329947954	2011	8	20.04310031	3.7526008	0	15	0.6242		0.7820561	0	46 	55.402		0.016	-0.088	0.023	0.011	0.052	0.025
91	u4        	5	2011.7941683505	2011	10	17.87144794	1.735115	0	6	56.4276		-0.0917233	0	 5 	30.204		-0.05	0.068	0.014	0.033	0.032	0.073
92	u2        	5	2011.796902838	2011	10	18.86953588	1.6963317	0	6	47.1196		-0.0945367	0	 5 	40.332		-0.119	-0.024	0.035	0.03	0.078	0.067
93	u3        	5	2011.796902838	2011	10	18.86953588	1.698505	0	6	47.6412		-0.106245	0	 6 	22.482		-0.082	0.101	0.012	0.005	0.027	0.011
