avg moment 	pos count 	sat list 	planet avg RA 	planet avg DE 	avg O-C, arcsec 	avg O-C sigma, arcsec 	avg O-C eps, arcsec
ymdd 	deg 	HMS 	deg 	DMS 	RA 	DE 	RA 	DE 	RA 	DE
2014.6631094841	2014	08	31.0349617	2	34	14.71770005125	0 58 52.248	5.530236094444	5 31 48.85	0.024	-0.042	0.002	0.042	0.001	0.03
2014.6767692994	2014	09	5.02079429	1	4	14.577415471111	0 58 18.58	5.470506485556	5 28 13.823	-0.035	-0.148	0	0	0	0
2014.6822381702	2014	09	7.01693211	3	234	14.517922530833	0 58 4.301	5.445328515185	5 26 43.183	0.009	0.084	0.029	0.113	0.017	0.065
2014.684971363	2014	09	8.01454748	2	34	14.487498638056	0 57 57		5.43242519625	5 25 56.731	-0.043	0.013	0.035	0.046	0.025	0.032
2014.6877084623	2014	09	9.01358874	2	34	14.456651406389	0 57 49.596	5.4193225325	5 25 9.561	0.096	-0.087	0.169	0.07	0.12	0.05
2014.7013582487	2014	09	13.99576077	2	24	14.296548298889	0 57 11.172	5.351725170972	5 21 6.211	0.056	-0.035	0.089	0.002	0.063	0.001
2014.706831978	2014	09	15.99367197	2	23	14.22968511625	0 56 55.124	5.323612895556	5 19 25.006	-0.092	0.088	0.043	0.005	0.03	0.004
2014.7095631378	2014	09	16.9905453	2	34	14.195861427639	0 56 47.007	5.309371045417	5 18 33.736	0.006	0.097	0.041	0.036	0.029	0.025
2014.7122991917	2014	09	17.98920499	2	24	14.161617937777	0 56 38.788	5.294892093056	5 17 41.612	-0.024	-0.204	0.075	0.074	0.053	0.052
2014.7177643597	2014	09	19.98399131	3	234	14.092307405185	0 56 22.154	5.265796854537	5 15 56.869	-0.086	-0.162	0.075	0.067	0.043	0.039
2014.7204923887	2014	09	20.97972189	2	34	14.057292335417	0 56 13.75	5.251136541944	5 15 4.092	-0.09	-0.044	0.009	0.044	0.006	0.031
2014.7450787449	2014	09	29.95374189	3	234	13.731673613333	0 54 55.602	5.114911746852	5 6 53.682	-0.101	-0.078	0.038	0.132	0.022	0.076
2014.7478143757	2014	09	30.95224714	1	4	13.694615663056	0 54 46.708	5.099465266667	5 5 58.075	-0.104	-0.037	0	0	0	0
2014.7560090792	2014	10	3.9433139	4	1234	13.583036810069	0 54 19.929	5.052942783403	5 3 10.594	-0.11	-0.137	0.043	0.246	0.022	0.123
2014.7669406218	2014	10	7.93332695	2	34	13.433469907361	0 53 44.033	4.990761004028	4 59 26.74	0.01	0.01	0.011	0.035	0.008	0.025
2014.7887868258	2014	10	15.90719142	2	34	13.135458932222	0 52 32.51	4.867257763889	4 52 2.128	-0.002	0.074	0.058	0.08	0.041	0.056
2014.8789535204	2014	11	17.81803494	2	14	12.075446502084	0 48 18.107	4.434679743194	4 26 4.847	0.046	0.164	0.02	0.161	0.014	0.114
2014.8816812279	2014	11	18.81364819	3	234	12.051022405741	0 48 12.245	4.424894218333	4 25 29.619	0.085	0.015	0.084	0.03	0.049	0.017
2014.9117363618	2014	11	29.78377207	2	34	11.823348276527	0 47 17.604	4.335475844028	4 20 7.713	-0.046	0.072	0.081	0.118	0.057	0.084
2014.9827750118	2014	12	25.7128793	2	34	11.632237075417	0 46 31.737	4.272432896389	4 16 20.758	-0.034	0.039	0.019	0.036	0.014	0.026
2015.6440221329	2015	08	24.06807851	2	23	18.678678829167	1 14 42.883	7.187958093333	7 11 16.649	0.073	-0.1	0.011	0.038	0.008	0.027
2015.6467501802	2015	08	25.06381576	2	34	18.657971915417	1 14 37.913	7.179202328704	7 10 45.128	-0.029	-0.228	0.02	0.209	0.014	0.147
2015.6494940259	2015	08	26.06531947	4	1234	18.636574788195	1 14 32.778	7.170232494861	7 10 12.837	0.078	-0.051	0.097	0.053	0.048	0.027
2015.6604192564	2015	08	30.05302859	3	234	18.54519592713	1 14 10.847	7.131913698056	7 7 54.889	0.041	-0.094	0.012	0.013	0.007	0.007
2015.663142609	2015	08	31.04705229	3	134	18.520967873704	1 14 5.032	7.121752733704	7 7 18.31	0.087	-0.211	0.17	0.199	0.098	0.115
2015.668613447	2015	09	2.04390815	2	34	18.470532537639	1 13 52.928	7.100755668611	7 6 2.72	-0.006	-0.125	0.002	0.022	0.002	0.015
2015.6795712258	2015	09	6.04349742	2	34	18.362923144167	1 13 27.102	7.056052842639	7 3 21.79	-0.061	-0.116	0.044	0.115	0.031	0.082
2015.6931935699	2015	09	11.01565302	4	1234	18.217682405278	1 12 52.244	6.995963032292	6 59 45.467	-0.014	-0.143	0.032	0.168	0.016	0.084
2015.6959290168	2015	09	12.01409114	2	34	18.187066892084	1 12 44.896	6.983365558472	6 59 0.116	-0.09	-0.056	0.025	0.006	0.017	0.004
2015.7123151904	2015	09	17.99504448	4	1234	17.994931940139	1 11 58.784	6.904274006875	6 54 15.386	0.028	-0.12	0.108	0.034	0.054	0.017
