sat  year  month  day  UT_h  UT_m  UT_s  RA_h  RA_m  RA_s  RA_SEM  DEC_deg  DEC_arcm  DEC_arcs  DEC_SEM  epoch  ref_catalog  Obs_code
u4  2011  11  29  18  0  0.2287  0  3  4.977  0.042  0  28   19.786  0.052  J2000  UCAC4  84
u3  2011  12  20  16  51  0.7973  0  3  4.133  0.025  0  28   16.342  0.086  J2000  UCAC4  84
u4  2011  12  20  16  51  0.7973  0  3  3.614  0.015  0  28   25.628  0.074  J2000  UCAC4  84
u3  2011  12  28  16  5  0.6182  0  3  25.251  0.007  0  25   43.63  0.032  J2000  UCAC4  84
u4  2011  12  28  16  5  0.6182  0  3  24.038  0.042  0  24   37.212  0.039  J2000  UCAC4  84
u3  2014  8  31  0  50  0.3448  0  58  53.328  0.056  5  31   38.935  0.032  J2000  UCAC4  84
u4  2014  8  31  0  50  0.3448  0  58  52.979  0.04  5  31   8.515  0.035  J2000  UCAC4  84
u4  2014  9  5  0  29  0.9438  0  58  18.978  0.023  5  28   46.214  0.045  J2000  UCAC4  84
u2  2014  9  7  0  24  0.3822  0  58  4.239  0.116  5  26   26.72  0.157  J2000  UCAC4  84
u3  2014  9  7  0  24  0.3822  0  58  4.698  0.018  5  26   12.512  0.035  J2000  UCAC4  84
u4  2014  9  7  0  24  0.3822  0  58  3.431  0.029  5  27   22.676  0.044  J2000  UCAC4  84
u3  2014  9  8  0  20  0.9484  0  57  57.959  0.021  5  25   33.644  0.031  J2000  UCAC4  84
u4  2014  9  8  0  20  0.9484  0  57  55.711  0.031  5  26   27.188  0.024  J2000  UCAC4  84
u3  2014  9  9  0  19  0.5678  0  57  50.634  0.085  5  25   5.52  0.034  J2000  UCAC4  84
u4  2014  9  9  0  19  0.5678  0  57  48.17  0.085  5  25   24.4  0.042  J2000  UCAC4  84
u2  2014  9  13  23  53  0.8955  0  57  10.599  0.114  5  21   20.758  0.108  J2000  UCAC4  84
u4  2014  9  13  23  53  0.8955  0  57  12.167  0.017  5  20   28.134  0.043  J2000  UCAC4  84
u2  2014  9  15  23  50  0.8876  0  56  55.655  0.14  5  19   9.092  0.281  J2000  UCAC4  84
u3  2014  9  15  23  50  0.8876  0  56  55.715  0.036  5  18   54.834  0.057  J2000  UCAC4  84
u3  2014  9  16  23  46  0.3852  0  56  48.04  0.072  5  18   14.9  0.061  J2000  UCAC4  84
u4  2014  9  16  23  46  0.3852  0  56  48.189  0.083  5  18   42.38  0.045  J2000  UCAC4  84
u2  2014  9  17  23  44  0.4552  0  56  38.301  0.107  5  17   58.518  0.217  J2000  UCAC4  84
u4  2014  9  17  23  44  0.4552  0  56  39.476  0.055  5  18   7.382  0.059  J2000  UCAC4  84
u2  2014  9  19  23  36  0.9475  0  56  22.579  0.049  5  15   39.11  0.09  J2000  UCAC4  84
u3  2014  9  19  23  36  0.9475  0  56  21.824  0.026  5  16   27.54  0.018  J2000  UCAC4  84
u4  2014  9  19  23  36  0.9475  0  56  21.566  0.017  5  16   38.106  0.014  J2000  UCAC4  84
u3  2014  9  20  23  30  0.7995  0  56  12.829  0.026  5  15   28.822  0.039  J2000  UCAC4  84
u4  2014  9  20  23  30  0.7995  0  56  12.641  0.011  5  15   40.274  0.015  J2000  UCAC4  84
u2  2014  9  29  22  53  0.3883  0  54  55.511  0.158  5   7   11.64  0.238  J2000  UCAC4  84
u3  2014  9  29  22  53  0.3883  0  54  54.598  0.027  5   7   14.488  0.045  J2000  UCAC4  84
u4  2014  9  29  22  53  0.3883  0  54  56.918  0.028  5   6   52.83  0.024  J2000  UCAC4  84
u4  2014  9  30  22  51  0.2359  0  54  47.652  0.017  5   6   15.736  0.043  J2000  UCAC4  84
u1  2014  10  3  22  38  0.372  0  54  20.362  0.202  5   3   1.358  0.205  J2000  UCAC4  84
u2  2014  10  3  22  38  0.372  0  54  19.986  0.117  5   3   26.71  0.236  J2000  UCAC4  84
u3  2014  10  3  22  38  0.372  0  54  20.809  0.024  5   2   44.932  0.027  J2000  UCAC4  84
u4  2014  10  3  22  38  0.372  0  54  19.061  0.02  5   3   50.61  0.017  J2000  UCAC4  84
u3  2014  10  7  22  23  0.9908  0  53  43.339  0.034  4  59   56.128  0.061  J2000  UCAC4  84
u4  2014  10  7  22  23  0.9908  0  53  43.231  0.075  4  59   5.056  0.088  J2000  UCAC4  84
u3  2014  10  15  21  46  0.3556  0  52  32.31  0.018  4  52   32.304  0.021  J2000  UCAC4  84
u4  2014  10  15  21  46  0.3556  0  52  32.543  0.036  4  52   39.426  0.027  J2000  UCAC4  84
u1  2014  11  17  19  37  0.9703  0  48  18.119  0.041  4  25   52.82  0.117  J2000  UCAC4  84
u4  2014  11  17  19  37  0.9703  0  48  17.651  0.006  4  25   36.132  0.015  J2000  UCAC4  84
u2  2014  11  18  19  31  0.6534  0  48  12.029  0.066  4  25   48.062  0.023  J2000  UCAC4  84
u3  2014  11  18  19  31  0.6534  0  48  12.676  0.023  4  25   48.83  0.011  J2000  UCAC4  84
u4  2014  11  18  19  31  0.6534  0  48  12.397  0.023  4  24   51.116  0.022  J2000  UCAC4  84
u3  2014  11  29  18  48  0.6318  0  47  16.688  0.037  4  20   29.932  0.038  J2000  UCAC4  84
u4  2014  11  29  18  48  0.6318  0  47  16.462  0.05  4  20   4.658  0.034  J2000  UCAC4  84
u3  2014  12  25  17  6  0.5462  0  46  30.897  0.026  4  16   45.172  0.03  J2000  UCAC4  84
u4  2014  12  25  17  6  0.5462  0  46  30.458  0.03  4  16   35.752  0.014  J2000  UCAC4  84
u2  2015  8  24  1  38  0.0331  1  14  42.22  0.187  7  11   28.764  0.087  J2000  UCAC4  84
u3  2015  8  24  1  38  0.0331  1  14  43.729  0.071  7  11   30.758  0.092  J2000  UCAC4  84
u3  2015  8  25  1  31  0.8947  1  14  38.007  0.058  7  11   13.48333  0.051  J2000  UCAC4  84
u4  2015  8  25  1  31  0.8947  1  14  36.339  0.079  7  10   59.10333  0.035  J2000  UCAC4  84
u1  2015  8  26  1  34  0.06  1  14  32.551  0.08  7  10   25.94  0.132  J2000  UCAC4  84
u2  2015  8  26  1  34  0.06  1  14  33.398  0.13  7   9   59.042  0.081  J2000  UCAC4  84
u3  2015  8  26  1  34  0.06  1  14  32.061  0.046  7  10   41.654  0.07  J2000  UCAC4  84
u4  2015  8  26  1  34  0.06  1  14  31.335  0.022  7  10   7.87  0.065  J2000  UCAC4  84
u2  2015  8  30  1  16  0.3612  1  14  11.367  0.097  7   7   38.482  0.139  J2000  UCAC4  84
u3  2015  8  30  1  16  0.3612  1  14  11.288  0.038  7   7   24.42  0.017  J2000  UCAC4  84
u4  2015  8  30  1  16  0.3612  1  14  11.882  0.06  7   7   17.364  0.096  J2000  UCAC4  84
u1  2015  8  31  1  7  0.7553  1  14  4.879  0.243  7   7   31.486  0.194  J2000  UCAC4  84
u3  2015  8  31  1  7  0.7553  1  14  6.082  0.049  7   6   57.18  0.06  J2000  UCAC4  84
u4  2015  8  31  1  7  0.7553  1  14  6.488  0.03  7   6   52.234  0.027  J2000  UCAC4  84
u3  2015  9  2  1  3  0.2277  1  13  53.596  0.026  7   6   21.914  0.049  J2000  UCAC4  84
u4  2015  9  2  1  3  0.2277  1  13  54.29  0.032  7   6   12.39  0.049  J2000  UCAC4  84
u3  2015  9  6  1  2  0.4227  1  13  26.205  0.032  7   3   9.424  0.079  J2000  UCAC4  84
u4  2015  9  6  1  2  0.8499  1  13  25.938  0.02  7   3   57.3025  0.055  J2000  UCAC4  84
u1  2015  9  11  0  22  0.5403  1  12  51.956  0.126  6  59   36.832  0.285  J2000  UCAC4  84
u2  2015  9  11  0  22  0.5403  1  12  52.315  0.039  6  59   27.118  0.05  J2000  UCAC4  84
u3  2015  9  11  0  22  0.5403  1  12  52.706  0.017  7   0   9.078  0.052  J2000  UCAC4  84
u4  2015  9  11  0  22  0.5403  1  12  52.271  0.013  6  59   5.974  0.036  J2000  UCAC4  84
u3  2015  9  12  0  20  0.2912  1  12  44.528  0.044  6  59   31.036  0.04  J2000  UCAC4  84
u4  2015  9  12  0  20  0.2912  1  12  45.63  0.046  6  58   19.492  0.045  J2000  UCAC4  84
u1  2015  9  17  23  52  0.8641  1  11  58.32  0.08  6  54   24.888  0.076  J2000  UCAC4  84
u2  2015  9  17  23  52  0.8641  1  11  58.107  0.149  6  54   26.22  0.055  J2000  UCAC4  84
u3  2015  9  17  23  52  0.8641  1  11  59.956  0.014  6  54   3.942  0.023  J2000  UCAC4  84
u4  2015  9  17  23  52  0.8641  1  11  58.577  0.018  6  54   56.136  0.01  J2000  UCAC4  84
u4  2015  9  18  23  51  0.4424  1  11  49.868  0.021  6  54   5.558  0.025  J2000  UCAC4  84
u3  2015  9  19  23  50  0.9815  1  11  42.861  0.034  6  53   3.09  0.041  J2000  UCAC4  84
u4  2015  9  19  23  50  0.9815  1  11  41.261  0.031  6  53   6.086  0.052  J2000  UCAC4  84
u3  2015  9  24  23  43  0.0593  1  11  1.229  0.033  6  47   48.97  0.02  J2000  UCAC4  84
u4  2015  9  24  23  43  0.0593  1  11  1.329  0.033  6  47   38.42  0.014  J2000  UCAC4  84
u3  2015  9  26  23  31  0.7098  1  10  44.991  0.081  6  46   29.41  0.024  J2000  UCAC4  84
u2  2015  10  3  22  51  0.4189  1  9  42.147  0.109  6  40   37.798  0.072  J2000  UCAC4  84
u3  2015  10  3  22  51  0.4189  1  9  42.891  0.06  6  39   48.354  0.038  J2000  UCAC4  84
u4  2015  10  3  22  51  0.4189  1  9  40.876  0.066  6  40   41.834  0.038  J2000  UCAC4  84
u2  2015  10  13  22  7  0.6777  1  8  11.886  0.077  6  30   52.95  0.105  J2000  UCAC4  84
u3  2015  10  13  22  7  0.0977  1  8  13.217  0.052  6  30   53.392  0.073  J2000  UCAC4  84
u4  2015  10  13  22  7  0.0977  1  8  12.566  0.035  6  31   41.792  0.038  J2000  UCAC4  84
u3  2015  10  8  22  25  0.9961  1  8  56.494  0.065  6  36   10.524  0.026  J2000  UCAC4  84
u4  2015  10  8  22  25  0.9961  1  8  58.147  0.041  6  35   3.686  0.015  J2000  UCAC4  84
u2  2015  10  20  21  45  0.0825  1  7  8.429  0.045  6  25   1.648  0.065  J2000  UCAC4  84
u3  2015  10  20  21  45  0.0825  1  7  9.137  0.024  6  24   15.684  0.021  J2000  UCAC4  84
u4  2015  10  20  21  45  0.0825  1  7  8.684  0.018  6  24   10.168  0.023  J2000  UCAC4  84
u2  2015  10  28  21  4  0.5479  1  5  58.813  0.023  6  18   2.48  0.044  J2000  UCAC4  84
u3  2015  10  28  21  4  0.5479  1  5  58.672  0.023  6  17   20.84  0.024  J2000  UCAC4  84
u4  2015  10  28  21  4  0.5479  1  5  58.537  0.018  6  18   25.104  0.019  J2000  UCAC4  84
u1  2015  10  30  21  0  0.3375  1  5  41.72  0.118  6  16   10.38  0.126  J2000  UCAC4  84
u2  2015  10  30  21  0  0.3375  1  5  42.384  0.042  6  15   42.914  0.039  J2000  UCAC4  84
u3  2015  10  30  21  0  0.3375  1  5  43.158  0.031  6  15   38.41  0.045  J2000  UCAC4  84
u4  2015  10  30  21  0  0.3375  1  5  40.699  0.01  6  16   24.832  0.062  J2000  UCAC4  84
u1  2015  11  5  20  34  0.3053  1  4  53.406  0.053  6  10   54.642  0.073  J2000  UCAC4  84
