"name","count","yf","y","m","d","ra_deg","ra_h","ra_m","ra_s","de_deg","de_d","de_m","de_s","oc_ra","oc_de","oc_ra_eps","oc_de_eps","oc_ra_sigma","oc_de_sigma"
"u2        ",5,2014.7013582487,2014,9,13.99576077,14.294161666667,0,57,10.5988,5.3557661111111,5,"21 ",20.758,0.118,-0.031,0.051,0.048,0.114,0.108
"u4        ",5,2014.7013582487,2014,9,13.99576077,14.3006975,0,57,12.1674,5.3411483333333,5,"20 ",28.134,0.009,-0.032,0.008,0.019,0.017,0.043
"u2        ",5,2014.706831978,2014,9,15.99367197,14.231895833333,0,56,55.655,5.3191922222222,5,"19 ",9.092,-0.12,0.092,0.062,0.126,0.14,0.281
"u3        ",5,2014.706831978,2014,9,15.99367197,14.232145833333,0,56,55.715,5.3152316666667,5,"18 ",54.834,-0.057,0.088,0.016,0.026,0.036,0.057
"u3        ",5,2014.7095631378,2014,9,16.9905453,14.2001675,0,56,48.0402,5.3041388888889,5,"18 ",14.9,-0.024,0.126,0.032,0.027,0.072,0.061
"u4        ",5,2014.7095631378,2014,9,16.9905453,14.200789166667,0,56,48.1894,5.3117722222222,5,"18 ",42.38,0.028,0.075,0.037,0.02,0.083,0.045
"u2        ",5,2014.7122991918,2014,9,17.98920499,14.159588333333,0,56,38.3012,5.2995883333333,5,"17 ",58.518,0.027,-0.15,0.048,0.097,0.107,0.217
"u4        ",5,2014.7122991918,2014,9,17.98920499,14.164483333333,0,56,39.476,5.3020505555556,5,"18 ",7.382,-0.09,-0.256,0.024,0.026,0.055,0.059
"u2        ",5,2014.7177643597,2014,9,19.98399131,14.094078333333,0,56,22.5788,5.2608638888889,5,"15 ",39.11,-0.17,-0.108,0.022,0.04,0.049,0.09
"u3        ",5,2014.7177643597,2014,9,19.98399131,14.090931666667,0,56,21.8236,5.2743166666667,5,"16 ",27.54,-0.035,-0.236,0.012,0.008,0.026,0.018
"u4        ",5,2014.7177643597,2014,9,19.98399131,14.089856666667,0,56,21.5656,5.2772516666667,5,"16 ",38.106,-0.073,-0.144,0.008,0.006,0.017,0.014
"u3        ",5,2014.7204923887,2014,9,20.97972189,14.0534525,0,56,12.8286,5.2580061111111,5,"15 ",28.822,-0.095,-0.007,0.012,0.018,0.026,0.039
"u4        ",5,2014.7204923887,2014,9,20.97972189,14.0526725,0,56,12.6414,5.2611872222222,5,"15 ",40.274,-0.098,-0.084,0.005,0.007,0.011,0.015
"u2        ",5,2014.7450787449,2014,9,29.95374189,13.731296666667,0,54,55.5112,5.1199,5," 7 ",11.64,-0.07,-0.229,0.07,0.107,0.158,0.238
"u3        ",5,2014.7450787449,2014,9,29.95374189,13.727490833333,0,54,54.5978,5.1206911111111,5," 7 ",14.488,-0.087,-0.004,0.012,0.02,0.027,0.045
"u4        ",5,2014.7450787449,2014,9,29.95374189,13.737158333333,0,54,56.918,5.114675,5," 6 ",52.83,-0.146,0.014,0.012,0.011,0.028,0.024
"u4        ",5,2014.7478143757,2014,9,30.95224714,13.698549166667,0,54,47.6518,5.1043711111111,5," 6 ",15.736,-0.115,-0.034,0.008,0.019,0.017,0.043
"u1        ",5,2014.7560090792,2014,10,3.9433139,13.584843333333,0,54,20.3624,5.0503772222222,5," 3 ",1.358,-0.164,-0.13,0.091,0.092,0.202,0.205
"u2        ",5,2014.7560090792,2014,10,3.9433139,13.583275,0,54,19.986,5.0574194444444,5," 3 ",26.71,-0.122,-0.48,0.053,0.106,0.117,0.236
"u3        ",5,2014.7560090792,2014,10,3.9433139,13.586703333333,0,54,20.8088,5.0458144444444,5," 2 ",44.932,-0.097,0.087,0.011,0.012,0.024,0.027
"u4        ",5,2014.7560090792,2014,10,3.9433139,13.579419166667,0,54,19.0606,5.0640583333333,5," 3 ",50.61,-0.075,-0.016,0.009,0.008,0.02,0.017
"u3        ",5,2014.7669406218,2014,10,7.93332695,13.430580833333,0,53,43.3394,4.9989244444444,4,"59 ",56.128,0.017,-0.01,0.015,0.027,0.034,0.061
"u4        ",5,2014.7669406218,2014,10,7.93332695,13.430129166667,0,53,43.231,4.9847377777778,4,"59 ",5.056,0.016,0.027,0.033,0.039,0.075,0.088
"u3        ",5,2014.7887868258,2014,10,15.90719142,13.134624166667,0,52,32.3098,4.87564,4,"52 ",32.304,0.036,0.131,0.008,0.009,0.018,0.021
"u4        ",5,2014.7887868258,2014,10,15.90719142,13.135595833333,0,52,32.543,4.8776183333333,4,"52 ",39.426,-0.061,0.016,0.016,0.012,0.036,0.027
"u1        ",5,2014.8789535204,2014,11,17.81803494,12.075495,0,48,18.1188,4.4313388888889,4,"25 ",52.82,0.07,0.274,0.018,0.052,0.041,0.117
"u4        ",5,2014.8789535204,2014,11,17.81803494,12.073544166667,0,48,17.6506,4.4267033333333,4,"25 ",36.132,0.047,0.046,0.003,0.007,0.006,0.015
"u2        ",5,2014.8816812279,2014,11,18.81364819,12.050120833333,0,48,12.029,4.4300172222222,4,"25 ",48.062,0.175,0.044,0.03,0.01,0.066,0.023
"u3        ",5,2014.8816812279,2014,11,18.81364819,12.052816666667,0,48,12.676,4.4302305555556,4,"25 ",48.83,0.064,-0.02,0.01,0.005,0.023,0.011
"u4        ",5,2014.8816812279,2014,11,18.81364819,12.051654166667,0,48,12.397,4.4141988888889,4,"24 ",51.116,0.028,0.018,0.01,0.01,0.023,0.022
"u3        ",5,2014.9117363618,2014,11,29.78377207,11.819533333333,0,47,16.688,4.3416477777778,4,"20 ",29.932,0.014,-0.006,0.017,0.017,0.037,0.038
"u4        ",5,2014.9117363618,2014,11,29.78377207,11.818593333333,0,47,16.4624,4.3346272222222,4,"20 ",4.658,-0.098,0.146,0.022,0.015,0.05,0.034
"u3        ",5,2014.9827750118,2014,12,25.7128793,11.628736666667,0,46,30.8968,4.2792144444444,4,"16 ",45.172,-0.047,0.069,0.011,0.013,0.026,0.03
"u4        ",5,2014.9827750118,2014,12,25.7128793,11.626909166667,0,46,30.4582,4.2765977777778,4,"16 ",35.752,-0.023,0.004,0.013,0.006,0.03,0.014
"u2        ",5,2015.6440221329,2015,8,24.06807851,18.675915833333,1,14,42.2198,7.1913233333333,7,"11 ",28.764,0.081,-0.074,0.084,0.039,0.187,0.087
"u3        ",5,2015.6440221329,2015,8,24.06807851,18.682205,1,14,43.7292,7.1918772222222,7,"11 ",30.758,0.065,-0.127,0.032,0.041,0.071,0.092
"u3        ",3,2015.6467501802,2015,8,25.06381576,18.658361111111,1,14,38.00667,7.1870787037037,7,"11 ",13.48333,-0.015,-0.375,0.033,0.029,0.058,0.051
"u4        ",3,2015.6467501802,2015,8,25.06381576,18.651411111111,1,14,36.33867,7.1830842592593,7,"10 ",59.10333,-0.043,-0.08,0.045,0.02,0.079,0.035
